username,user_id,access_hash,name,group,group_id
,578941867,8430079911479759179,Mom,GetCoin,1242631468
cneededadmin,1389057782,-9049757680694279729,Coders Needed Eth,GetCoin,1242631468
MetiGirmaCEO,754515422,-7508726455453515109,Meti Girma,GetCoin,1242631468
Jodimaria,331244072,-1375447324456365414,Meti Ceo,GetCoin,1242631468
Yoni_L,505118636,-5874104337036127494,Update 1,GetCoin,1242631468
amenabe,346773078,3189170149491167056,Amen Abe,GetCoin,1242631468
,540135661,-1404850699889745091,Alam,GetCoin,1242631468
ephrem_007,387600750,-1181975682446366051,Ephrem F,GetCoin,1242631468
Oxecho,303757027,3657265285643960617,Echo Django,GetCoin,1242631468
Kena_A,309503749,-39183826009360339,Kena,GetCoin,1242631468
Abudi_seid10,355128196,1840612409070456158,Abdi,GetCoin,1242631468
Silver16,240963560,-5245540849527810708,Meti Hope,GetCoin,1242631468
dagi4,339210425,-4041327842754042824,Dagi Deb,GetCoin,1242631468
,381900875,3146867180232736150,Adimasu dufara,GetCoin,1242631468
,302846111,-2579475325019500778,Hermela Yilma😛,GetCoin,1242631468
HiyabM,389071562,4258780289683104919,Hiyu,GetCoin,1242631468
Khaludi00,413499464,9043695408534522339,Khalid Chondaw,GetCoin,1242631468
Bezaweet,360141946,-1677543380242884879,Beza Love❤️,GetCoin,1242631468
Abiy41,368849434,3287045390259010452,Bona 2,GetCoin,1242631468
,803737904,-5507207438559930022,Amele Asefa,GetCoin,1242631468
,947138607,7399606624839757114,Abebe Wegen,GetCoin,1242631468
,946751771,-517700209285692387,Artist,GetCoin,1242631468
,922144313,-1714191963210070378,Ababa Shawer,GetCoin,1242631468
,617299989,3792365936845261016,Abu,GetCoin,1242631468
,611636407,-1708114666387672599,Abinet,GetCoin,1242631468
Melatawe,608778392,-5230904598416822379,Anteh Loweyer,GetCoin,1242631468
,571828553,-2949820221325572475,Amsalu,GetCoin,1242631468
Amannnny,354037817,-1470228880009055480,Aman.Hubo,GetCoin,1242631468
AMEHABTE16,344936747,2463148862151979816,Amare Dorm,GetCoin,1242631468
,343691266,2302789151424278106,Anteneh Girum,GetCoin,1242631468
Big_bone,343224295,-7517422569763992511,Alula Phone,GetCoin,1242631468
,531295609,1269926121404246365,Antaneh,GetCoin,1242631468
Kiyayaa,332695393,-1218944251295275545,Adanech,GetCoin,1242631468
Awkrd_blkgrl,327381456,6374608002857851105,Adey Hayat,GetCoin,1242631468
InManEl,316180522,-4158210169056124059,Aman Taye,GetCoin,1242631468
,302529439,3413811471603383525,Abanezer,GetCoin,1242631468
Wgdad,300131088,-2864762950733735648,Aman 2,GetCoin,1242631468
,275594375,2309972143733477672,Abdifetah,GetCoin,1242631468
Dagi7411,759213793,-4342782381493601166,Dagi Abuwallad,GetCoin,1242631468
Al_Am_Ma,381417104,-5352328560286771179,Amar unity,GetCoin,1242631468
Natyw4122,806266273,-2619404221838987899,Nati.asm,GetCoin,1242631468
Kachiks,862330207,1289899348723416146,Geffry,GetCoin,1242631468
,559570063,3810926053156158127,. Aklilu A A,GetCoin,1242631468
Elemento_MJAES,378945657,-1973836084143784739,Abuwalled,GetCoin,1242631468
kira_baby,337137908,-2488501643778354305,Kira Bro,GetCoin,1242631468
YohanesFikru,470805456,-1478203944535603995,John Icpc,GetCoin,1242631468
tough_cookie,272438666,6574795276708800368,Wubeyew,GetCoin,1242631468
ThankFuckForOurDecline,343739605,2447247542750785740,Blen,GetCoin,1242631468
natnaelargaw,456139825,3600047967049592266,Nati Oracle,GetCoin,1242631468
Mercy_fulGOD,393569777,-6794577123094294802,Enjera,GetCoin,1242631468
A_la_folie,335180668,-7639038605670502793,Capi,GetCoin,1242631468
Will116,448632238,6837466142542351645,Fike,GetCoin,1242631468
Bilbrk,367785111,384747876132839888,Erasu Bill,GetCoin,1242631468
red_sprite,342109729,5298257853788692112,Josy Adama,GetCoin,1242631468
,403285806,3887281471238257110,Bil Mom,GetCoin,1242631468
bemoviie,372377211,-6243054283222023742,Bezawit,GetCoin,1242631468
